time,userActivity,activeProcess,windowTitle
160203182845,active,,
160203182845,active,javaw.exe,Logger
160203182845,active,javaw.exe,Logger
160203182845,active,javaw.exe,Logger
160203182846,active,javaw.exe,Logger
160203182847,active,javaw.exe,Java - WorkplaceConcentration/src/model/MainController.java - Eclipse
160203182848,active,javaw.exe,Java - WorkplaceConcentration/src/model/MainController.java - Eclipse
160203182848,active,javaw.exe,Java - WorkplaceConcentration/src/model/MainController.java - Eclipse
160203182848,active,javaw.exe,Java - WorkplaceConcentration/src/model/MainController.java - Eclipse
160203182848,active,Explorer.EXE,
160203182849,active,Explorer.EXE,
160203182849,active,Explorer.EXE,
160203182849,active,Explorer.EXE,
160203182853,active,chrome.exe,javascript - D3.js - Width of xAxis for a bar chart too short - Stack Overflow - Google Chrome
160203182853,active,chrome.exe,javascript - D3.js - Width of xAxis for a bar chart too short - Stack Overflow - Google Chrome
160203182853,active,chrome.exe,javascript - D3.js - Width of xAxis for a bar chart too short - Stack Overflow - Google Chrome
160203182853,active,chrome.exe,javascript - D3.js - Width of xAxis for a bar chart too short - Stack Overflow - Google Chrome
160203182906,active,javaw.exe,Java - Eclipse
160203182906,active,javaw.exe,Java - Eclipse
160203182906,active,javaw.exe,Java - WorkplaceConcentration/src/view/View.java - Eclipse
160203182907,active,javaw.exe,Java - WorkplaceConcentration/src/view/View.java - Eclipse
160203182907,active,javaw.exe,Java - WorkplaceConcentration/src/view/View.java - Eclipse
160203182907,active,javaw.exe,Java - WorkplaceConcentration/src/view/View.java - Eclipse
160203183044,active,javaw.exe,Java - WorkplaceConcentration/src/model/EEG.java - Eclipse
160203183044,active,javaw.exe,Java - WorkplaceConcentration/src/model/EEG.java - Eclipse
160203183044,active,javaw.exe,Java - WorkplaceConcentration/src/model/EEG.java - Eclipse
160203183044,active,javaw.exe,Java - WorkplaceConcentration/src/model/EEG.java - Eclipse
160203183106,active,javaw.exe,New Java Class
160203183107,active,javaw.exe,New Java Class
160203183107,active,javaw.exe,New Java Class
160203183107,active,javaw.exe,New Java Class
160203183124,active,javaw.exe,Java - WorkplaceConcentration/src/model/museLogger.java - Eclipse
160203183125,active,javaw.exe,Java - WorkplaceConcentration/src/model/museLogger.java - Eclipse
160203183125,active,javaw.exe,Java - WorkplaceConcentration/src/model/museLogger.java - Eclipse
160203183125,active,javaw.exe,Java - WorkplaceConcentration/src/model/museLogger.java - Eclipse
160203183130,active,javaw.exe,Java - WorkplaceConcentration/src/model/EEG.java - Eclipse
160203183130,active,javaw.exe,Java - WorkplaceConcentration/src/model/EEG.java - Eclipse
160203183130,active,javaw.exe,Java - WorkplaceConcentration/src/model/EEG.java - Eclipse
160203183130,active,javaw.exe,Java - WorkplaceConcentration/src/model/EEG.java - Eclipse
160203183149,active,javaw.exe,Java - WorkplaceConcentration/src/model/museLogger.java - Eclipse
160203183149,active,javaw.exe,Java - WorkplaceConcentration/src/model/museLogger.java - Eclipse
160203183149,active,javaw.exe,Java - WorkplaceConcentration/src/model/museLogger.java - Eclipse
160203183149,active,javaw.exe,Java - WorkplaceConcentration/src/model/museLogger.java - Eclipse
160203183325,active,javaw.exe,Logger
160203183325,active,javaw.exe,Logger
160203183325,active,javaw.exe,Logger
160203183325,active,javaw.exe,Logger
